ID,operational period,extent of damage,disaster type,day of request,hour of request,possibility of  similar disaster,availability of resources,crew mobilization,work backlog,distance,recommended
A,0.952380952,1,1,3,3,3,4,4,4,0.169230769,1
A,0.952380952,1,1,3,3,3,4,4,4,0.169230769,1
A,0.952380952,1,1,3,3,3,4,4,4,0.169230769,1
A,0.952380952,1,1,3,3,3,4,4,4,0.169230769,1
A,0.952380952,1,1,3,3,3,4,4,4,0.169230769,1
A,0.952380952,1,1,3,3,3,4,4,4,0.169230769,1
A,0.952380952,1,1,3,3,3,4,4,4,0.169230769,1
A,0.952380952,1,1,3,3,3,4,4,4,0.169230769,1
A,0.952380952,1,1,3,3,3,4,4,4,0.169230769,1
A,0.952380952,1,1,3,3,3,4,4,4,0.169230769,1
A,0.952380952,1,1,3,3,3,4,4,4,0.169230769,1
A,0.952380952,1,1,3,3,3,4,4,4,0.169230769,0
B,0.952380952,1,1,4,4,4,3.2,4,3,0.169230769,1
B,0.952380952,1,1,4,4,4,3.2,4,3,0.169230769,1
B,0.952380952,1,1,4,4,4,3.2,4,3,0.169230769,1
B,0.952380952,1,1,4,4,4,3.2,4,3,0.169230769,1
B,0.952380952,1,1,4,4,4,3.2,4,3,0.169230769,1
B,0.952380952,1,1,4,4,4,3.2,4,3,0.169230769,1
B,0.952380952,1,1,4,4,4,3.2,4,3,0.169230769,1
B,0.952380952,1,1,4,4,4,3.2,4,3,0.169230769,1
B,0.952380952,1,1,4,4,4,3.2,4,3,0.169230769,1
B,0.952380952,1,1,4,4,4,3.2,4,3,0.169230769,1
B,0.952380952,1,1,4,4,4,3.2,4,3,0.169230769,1
B,0.952380952,1,1,4,4,4,3.2,4,3,0.169230769,1
B,0.952380952,1,1,4,4,4,3.2,4,3,0.169230769,0
C,2.666666667,3,4,4,4,4,4,1.3,4,2.076923077,1
C,2.666666667,3,4,4,4,4,4,1.3,4,2.076923077,1
C,2.666666667,3,4,4,4,4,4,1.3,4,2.076923077,1
C,2.666666667,3,4,4,4,4,4,1.3,4,2.076923077,1
C,2.666666667,3,4,4,4,4,4,1.3,4,2.076923077,0
C,2.666666667,3,4,4,4,4,4,1.3,4,2.076923077,0
C,2.666666667,3,4,4,4,4,4,1.3,4,2.076923077,0
C,2.666666667,3,4,4,4,4,4,1.3,4,2.076923077,0
C,2.666666667,3,4,4,4,4,4,1.3,4,2.076923077,0
C,2.666666667,3,4,4,4,4,4,1.3,4,2.076923077,0
C,2.666666667,3,4,4,4,4,4,1.3,4,2.076923077,0
C,2.666666667,3,4,4,4,4,4,1.3,4,2.076923077,0
D,3.047619048,3,3,3,3,3,3.2,4,3,2.384615385,1
D,3.047619048,3,3,3,3,3,3.2,4,3,2.384615385,1
D,3.047619048,3,3,3,3,3,3.2,4,3,2.384615385,1
D,3.047619048,3,3,3,3,3,3.2,4,3,2.384615385,1
D,3.047619048,3,3,3,3,3,3.2,4,3,2.384615385,1
D,3.047619048,3,3,3,3,3,3.2,4,3,2.384615385,1
D,3.047619048,3,3,3,3,3,3.2,4,3,2.384615385,1
D,3.047619048,3,3,3,3,3,3.2,4,3,2.384615385,0
D,3.047619048,3,3,3,3,3,3.2,4,3,2.384615385,0
D,3.047619048,3,3,3,3,3,3.2,4,3,2.384615385,0
D,3.047619048,3,3,3,3,3,3.2,4,3,2.384615385,0
D,3.047619048,3,3,3,3,3,3.2,4,3,2.384615385,0
D,3.047619048,3,3,3,3,3,3.2,4,3,2.384615385,0
E,2.095238095,2,2,4,3,4,3.2,4,3,1.461538462,1
E,2.095238095,2,2,4,3,4,3.2,4,3,1.461538462,1
E,2.095238095,2,2,4,3,4,3.2,4,3,1.461538462,1
E,2.095238095,2,2,4,3,4,3.2,4,3,1.461538462,1
E,2.095238095,2,2,4,3,4,3.2,4,3,1.461538462,1
E,2.095238095,2,2,4,3,4,3.2,4,3,1.461538462,1
E,2.095238095,2,2,4,3,4,3.2,4,3,1.461538462,1
E,2.095238095,2,2,4,3,4,3.2,4,3,1.461538462,1
E,2.095238095,2,2,4,3,4,3.2,4,3,1.461538462,0
E,2.095238095,2,2,4,3,4,3.2,4,3,1.461538462,0
E,2.095238095,2,2,4,3,4,3.2,4,3,1.461538462,0
F,3.238095238,2,2,4,3,4,3.2,4,3,1.461538462,1
F,3.238095238,2,2,4,3,4,3.2,4,3,1.461538462,1
F,3.238095238,2,2,4,3,4,3.2,4,3,1.461538462,1
F,3.238095238,2,2,4,3,4,3.2,4,3,1.461538462,1
F,3.238095238,2,2,4,3,4,3.2,4,3,1.461538462,1
F,3.238095238,2,2,4,3,4,3.2,4,3,1.461538462,1
F,3.238095238,2,2,4,3,4,3.2,4,3,1.461538462,1
F,3.238095238,2,2,4,3,4,3.2,4,3,1.461538462,1
F,3.238095238,2,2,4,3,4,3.2,4,3,1.461538462,1
F,3.238095238,2,2,4,3,4,3.2,4,3,1.461538462,0
F,3.238095238,2,2,4,3,4,3.2,4,3,1.461538462,0
F,3.238095238,2,2,4,3,4,3.2,4,3,1.461538462,0
F,3.238095238,2,2,4,3,4,3.2,4,3,1.461538462,0
G,1.333333333,2,2,4,3,4,3.2,4,3,1.461538462,1
G,1.333333333,2,2,4,3,4,3.2,4,3,1.461538462,1
G,1.333333333,2,2,4,3,4,3.2,4,3,1.461538462,1
G,1.333333333,2,2,4,3,4,3.2,4,3,1.461538462,1
G,1.333333333,2,2,4,3,4,3.2,4,3,1.461538462,1
G,1.333333333,2,2,4,3,4,3.2,4,3,1.461538462,1
G,1.333333333,2,2,4,3,4,3.2,4,3,1.461538462,0
G,1.333333333,2,2,4,3,4,3.2,4,3,1.461538462,0
G,1.333333333,2,2,4,3,4,3.2,4,3,1.461538462,0
G,1.333333333,2,2,4,3,4,3.2,4,3,1.461538462,0
G,1.333333333,2,2,4,3,4,3.2,4,3,1.461538462,0
G,1.333333333,2,2,4,3,4,3.2,4,3,1.461538462,0
H,2.095238095,2,2,4,3,4,3.2,4,2,1.461538462,1
H,2.095238095,2,2,4,3,4,3.2,4,2,1.461538462,1
H,2.095238095,2,2,4,3,4,3.2,4,2,1.461538462,1
H,2.095238095,2,2,4,3,4,3.2,4,2,1.461538462,1
H,2.095238095,2,2,4,3,4,3.2,4,2,1.461538462,1
H,2.095238095,2,2,4,3,4,3.2,4,2,1.461538462,1
H,2.095238095,2,2,4,3,4,3.2,4,2,1.461538462,0
H,2.095238095,2,2,4,3,4,3.2,4,2,1.461538462,0
H,2.095238095,2,2,4,3,4,3.2,4,2,1.461538462,0
H,2.095238095,2,2,4,3,4,3.2,4,2,1.461538462,0
H,2.095238095,2,2,4,3,4,3.2,4,2,1.461538462,0
H,2.095238095,2,2,4,3,4,3.2,4,2,1.461538462,0
H,2.095238095,2,2,4,3,4,3.2,4,2,1.461538462,0
I,0.380952381,2,1,4,4,4,4,4,4,2.346153846,1
I,0.380952381,2,1,4,4,4,4,4,4,2.346153846,0
I,0.380952381,2,1,4,4,4,4,4,4,2.346153846,0
I,0.380952381,2,1,4,4,4,4,4,4,2.346153846,0
I,0.380952381,2,1,4,4,4,4,4,4,2.346153846,0
I,0.380952381,2,1,4,4,4,4,4,4,2.346153846,0
I,0.380952381,2,1,4,4,4,4,4,4,2.346153846,0
I,0.380952381,2,1,4,4,4,4,4,4,2.346153846,0
